idioma_nombre,idioma_key
Inglés,216df59d4dca0cc05c7678221afc6c97
Español,de92bbe05815c4eb756acb5897baa99c
Catalán,556b72c736a95cf0df525527a236a079
Euskera,4f25669c017990a8a0d89bf2eee3d184
Italiano,ff46e55c1733301a04c67c3934180a99
Francés,75357f6288b1eb7180e56d572a16a0cd
Alemán,240c83491e8c44aa21f11069d5e3d862
Portugués,d84f5f223e29a650c524f38dfc137165
Gallego,a22d3e7948f1b6500bc1de06c0d5eeae
Árabe,5f7ec9fd3d1a9a8cf561e0ebd3d84a64
Chino,33c98fed061261dd324ffd388204927b
Danés,811bc451c8604454a818bc68e3ed5de0
Ruso,2ab17cd2aab88452f06e1e8a6fe71f11
Otro Idioma,6a0dbeaf4f3e93a8d5ce64c7158e3c94
Albanés,601dbfa3c7e47c2e27a2e3204a49d144
Croata,1ff25887b503d83ed9589ecaf686c17c
Holandés,d8a9679f8e44b4f9efee54b74c32e24f
Húngaro,3cbc8d0a7497a131a3a0befe5d39d86b
Rumano,5dc6645ba15a5fdb4ef64f43683d2489
Noruego,8d6a8cdf9b2e593aab0592557e3386ab
Polaco,b485fa51fd73235494838050ccad96b9
Griego,597565a099bf5ec422c07583ccf666e0
Finlandés,8453c6b4abbb2c78c3b01a0a2dbe71b6
Sueco,29d7ee4e925ae2d639bab57a8ca34860
Checo,7c5e037b592f11dc1e7e7d0f0dac2a14
Turco,a137b9aff152dde9995038dcfb29cc0f
Japonés,d228df62fc0c87e3d19919e0d7372123
Serbio,894ba3a61fc9ee2056fa623950bf0ab1
Eslovaco,1c533f71d30506d1822118e24d68b346
