categoria_nombre,subcategoria_nombre,categoria_key
Administración de empresas,Administración,11807bb422ffc64a3a7801ce32272d8f
Inmobiliario y construcción,Administración inmobiliaria,79888b96008c2271dcfe56397fc931ab
Turismo y restauración,Restauración,57e94cfcf3002f0f851fd66365fedb15
Atención a clientes,Atención al cliente,3a401347775be0e5c0ce9c994b461a0b
"Compras, logística y almacén",Compras y aprovisionamiento,9434f2fcfe6a6e73b2d2b3b2ca63e182
Informática y telecomunicaciones,Gestión de proyectos,f37fdd6134dc9193484db84241e07c00
"Profesiones, artes y oficios",Transporte,b0607da3e5c47318ae747991e9bd244c
Comercial y ventas,Comercial,7dcb47663a438b953b600bbfd815a29e
"Compras, logística y almacén",Distribución y logística,880494dad6879268b46010c8889036f7
Administración de empresas,"Facturación, cobros y pagos",5c2980c6aa17ad82d43cc43979b326f3
Sanidad y salud,Farmacia,1f5fe4db9e8c61017ccac2d9167a8af6
Turismo y restauración,Turismo,4a0fa74a3069b4bcda412ef1c883ae83
Comercial y ventas,Agente comercial,4cfdc3d588a917ed0e9b545f6e2c1fb3
Ventas al detalle,Venta al detalle,00cf7938c57f64c4d34d1e94dc97e03f
Ingenieros y técnicos,Aeronáutico,650bdea4c6e9b724160b6615fdec98a8
Administración de empresas,Consultoría,c200ef047b43fb86641c3141178dcad0
Recursos humanos,Prevención de riesgos,f80b20a9e8d8b51e650e5f48f6f21a9d
Ingenieros y técnicos,Otras ingenierías,ab85af8b4c56e0b9e4059d70ff91873c
"Profesiones, artes y oficios",Electricidad,85ee1b4fe42805fd3693cdb948af4c0e
Informática y telecomunicaciones,Programación,ff889f84e1e1c7a96e889a891192c841
Ingenieros y técnicos,Industrial,b9f5e17b18396fab5a1b4f0f3f957e0e
Marketing y comunicación,Marketing,857e90d209f9e89d9e226ccf353cdde0
Ingenieros y técnicos,Electrónica,6ebb9d8575d9a2f45a5ea96147a9ba3d
"Profesiones, artes y oficios",Confección,fbdb276fd60d5853c0e0b7cabb55c69c
Administración de empresas,Finanzas y contabilidad,8a789e85563a868906f410bde0cb9961
Otros,Sin especificar,376243dd2b733dbf34c709c504458eeb
Informática y telecomunicaciones,Telecomunicaciones,955b69a703fcbaad8296db52b53eeef7
Comercial y ventas,Televenta y marketing telefónico,ad7cedce517c47482c9634f8eacd6d08
Legal,Derecho y empresa,3ac44bf15515be4b2e54ad5f2e748dfe
Informática y telecomunicaciones,Calidad,b3b2d5c1d82591c36ba65c6af7612d34
"Compras, logística y almacén",Almacén,4ee8252d2238c918c748faa5a3fab372
Comercial y ventas,Comercio exterior,faf9a7f36d2c33a3685aa161225d27fa
Ingenieros y técnicos,Energias Renovables,c8818442db0be7b405812e849ad262fb
Marketing y comunicación,Investigación de mercados,b50935e5d8903e8c4088a50c3b923912
Recursos humanos,Selección de personal,82d9bc2afa28cafeda965a00ec1ed67f
"Calidad, producción e I+D",Gestión de proyectos,554fc3924a9679fab9482bd667d803cb
Sanidad y salud,Otras profesiones sanitarias,a77d70613151d13b6d2eb0f2c7f68239
Informática y telecomunicaciones,Helpdesk,36158257c892457521b0e12b58eb78e3
Ingenieros y técnicos,Electrónica y automática industrial,ee150114b665cd9c0810a069b8b389f0
Educación y formación,Enseñanza,5cfdb3baa2ec544fb571520494c5ab7b
