oferta_id,compania_nombre,compania_key
26ddcebf4c406683b8650a9091d6c2,KATEGORA,5623e3ef79e28c9e7041ddb2b8e98be4
fd37764638459386ee9ab040647667,Renta Garantizada S.A,0651bd1d46aa4c09883c5e618b17b31f
428dec6f3648f3abe0f818f271f874,Nikki Beach Marbella,d7bc549113d86fc128637b7aebf31688
fb5005d8aa45f298f0a8e620800312,Especialistas en trabajo temporal,8f2a4a1d70cadc019a65d04d2408d55a
a3e75ddc0847dfa53d5a0593984612,ADC Recursos Humanos,c5edc78cc1d1efaae86c52672cd796b8
eb6d22a1b849d9bf6de42d133486db,Empresa del sector informático en expansión,68cac3bb86deeb36207ffd32bff98de3
93758745d946c6aa9e4fced7bc0023,Tendam Ofertas Practicas,cdd1cb5b4e3b7500e16ec7b68fb246b6
dde0ac5f5548a792a9cbd8c87cad41,Sagalés,2a566abb6842251d3c3d7c60697cd88f
4a9e91de7c4856bf38fb989e6c98d5,TRANSGALLEGO LOGISTIC SL,b397becfc37e2a5af2ffb2a6b9f6ba50
137b7af17d4b78ba5aee9ebb1e3be5,JUST-EAT SPAIN SL,6b0bb1cc8afc860fd756e9f694f8820e
6c726b9ee8433683346296c87f1f31,HAYS Working for your Tomorrow,42e2361bb11b1742cac916e7a8899470
f2ca4de2e84c3ca2421cae60a0af44,IRIUM SOLUCIONES Y SISTEMAS,023c273a16057b5b58811b41f329c44c
c67f24f5914feb9e2546e9ead24020,farmacia Serra Mandri,3cf7a7dbe76b89e3b2820db3230c8dd4
60990936fb4499bbeeb6aac2d488f8,Hertz de España,34c3396d7650e738866a3c5f270b5bd0
304787f3f54822b9e456ce88cf75b3,GRUPO CURSACH,83c5c116374ca2d4778b2688ac62466d
478b45c3184d6b880b9fa8db0af38f,Sales Hunters,a83266872f8b1b9ab8ab7f766e28149f
c5e5b3eabb4267a64e06a8c637eb3b,Tiko Real Estate Technologies S.L.,2739b0c2af2a5130924c2140f5476c1c
9baa4328e14bdfaf5d95932d4f6bc3,PRIMECUT SL.,5963f1be70186a201fad161e52285fca
439cf8bd314c7c839725fd0093c44f,ILLESPARQUET SL,07dcf140103288113c568d36273ce789
8849e38d12457bb8f04fe03a5301a0,Bebitos,cd376f373e9f47d976f034844547d3e8
11d065ac434c96aa0031fe300292fa,"PADEL IN BADALONA, SL",3796b5ea4c3d80eacc412b1b6e87c0d4
0047a91a7141498c0e2242f5e694d3,Resource Group - España,6a790043ba422ad148867eb2785cf2d3
fe57ea5b0d4e99acf150f0cffd32c2,BUSINESS CONSULTING SCHOOL OF MANAGEMENT,1aabc08d6f4d0b97638753053cde738c
2043e5c8784421bf6e96ecfdaac771,Eurofirms - Calidad e Industria,3d3fa1ca7494c64e4c4e8891ad6d1c51
bcd4999f3648289d80e80f2ad94de5,Safeguard Global Staff Leasing Spain,314c944157d5d94ff6842b0c8ad230ca
39685853c74b6487db530d7212852b,GRUPOMPLEO,97a7cf1791cffbe60fd91630fda8640c
dd8a01210c4773b242165ee71c1b16,IRIUM SOLUCIONES Y SISTEMAS,023c273a16057b5b58811b41f329c44c
5845961d7848438a2cf70da5203260,DESARROLLO ROQUETAS 2021 SOCIEDAD LIMITADA.,6d8e04305fcffcb79baf8cbf3a2c7934
260837e2bc45718837f17672d9719c,ALENTA EQUIPO S.L.,f42c26ce7f5ff748ef86524a71e9f5d2
967ab838394afe95b15698f3f91772,Aliminter S.A.,ad31dc01143806c4d1277b144f991156
ea1cd77dbb4785a3d46674025a420b,VIALSER EDIFICACION Y OBRA CIVIL S.L.U.,36986faffa2c04a7eda00217c4d0ab1c
ef4f24157a48269bbd2e07f7741715,Especialistas en trabajo temporal,8f2a4a1d70cadc019a65d04d2408d55a
e0e8a3afd74d1d8ffb0fa32753f83c,Bifan Iberica SL,c198be4203d0d93d31663fefc6e65ba6
43cfddbc2a4b20b6adeaf0cb8d9446,FAGOR ELECTRONICA,af614d44089049a4f1fff47beabd99d3
90a43b59d04206ad79f4a25c174002,MARLEX Interim,6eabca948e3d710b2c81a2edcf433a30
fba77178dc4f4ea8b0983a8b172050,BELLAVISTA LEGAL SL,44b80910d8cc6b201ea671b666f236f0
b2f42abba443f9b7c0f853a8e4a624,AKCION COOP V,66a8c29b98194889efdeac8800e9657a
d955ea8c054ae1ac23731b8f373a0c,Randstad,4f9edafdca8658f8aba5a066069fc022
5d503b534243239262431e1b9ab7a0,Empresa del sector educativo especializada en impartición de cursos Máster.,019b12fe4320b3207474c926cd41bdb1
1255a067e0406781e79d344720881f,VIEWNEXT  Profesionales,7ce401a894de506c52a95018db5c31c8
49ca7e15334989b78748465f9055b2,MST Holding,cae23dfa51e3c90349a7e871101514d0
4bfa1d36bb4dca97c59410075343d7,HERRERA ADVOCATS INTERLEX SLP.,3809eb0aca2bfd1519bff7e5d7bbb09f
e69461dc68403fa5a11c92cb1d6152,Digital Talent Agency Zona Centro,45d8eab838d87729cee2b78ccb77472a
6d7ff16b0946d681a4bde7e1ee5e9d,Bicolan ETT,58bd93f79dd2e61fc29dce73bb18e7c9
fec4f492b54c47a74b2d286bfa5ed3,Randstad Professionals,43e36cb1a27fe9f47b3000a00f8dc1e9
e9ac70992d43d79f6729366e5c1c4d,MST Holding,cae23dfa51e3c90349a7e871101514d0
fcaacaaedf49db8e7fa8ae0851de96,The ThinkIN Global Service SL,79dd7a3cddea5de24bec4f46961c4354
