estudios_nombre,estudio_key
Grado,71280dd0bbd3d7062e7578ab240d199a
Educación Secundaria Obligatoria,cbb3f353643e09057aa9c22947bf19a4
Sin estudios,33a70dd080e4212ed616d9cfe90af080
Ciclo Formativo Grado Superior,90d129e4ec3741135e9e0abca461da3c
Ciclo Formativo Grado Medio,813459a0645f9ce3cc9e4bcc6b4738c7
Ingeniería Técnica,04748c82cd9f8fe1eca5823a48349f76
Bachillerato,c6d249f33e8ae3bcc6076141ff7dc692
Licenciatura,9cd015c2294d1fd2616f58ff086fa134
Formación Profesional Grado Superior,d9cf569c9990af1d8e857d698f92b73c
Ingeniería Superior,37f6cc505497b73d5e921d845381ea9d
Diplomatura,13447706a6eefa645d89a100a697feba
"Otros títulos, certificaciones y carnés",b7a614bdd90007e605c790632d948982
Formación Profesional Grado Medio,eb9dda5c16016fc199083ff3e866a4f2
Máster,2f11f9614430763e6c2d1c6d3cb34cdf
Otros cursos y formación no reglada,99f5a219d0817931c9e85fde6069188c
Postgrado,8ed58860ec39a08ae1712075e3a7a6eb
Doctorado,9f3a0b416d46133f5effd2dc1533f704
Enseñanzas artísticas (regladas),a4a6471071dbc1da231db6fff56ad5cd
Enseñanzas deportivas (regladas),fd2e56ded30cb9fb234e1c9b508e557a
