pais_nombre,provincia_nombre,ciudad_nombre,territorio_key
España,Vizcaya/Bizkaia,Bilbao,9b953909661b4e913952f1319f60e78d
España,Barcelona,Barcelona,2cff5f5e4c51a05b04c78e700e99c27b
España,Guipúzcoa/Gipuzkoa,Urnieta,c1bc221dfdd1adae8fe1722b0a04cf2f
España,Madrid,Madrid,12e2ade1582a08a13581b64808cac8d7
España,Valencia/València,Loriguilla,2a649f982d27c2c0b9e35c2833d41d82
España,Málaga,Marbella,4dc27188821720d3fef2cf708f27385a
España,Barcelona,El Prat de Llobregat,54a37ea93008bcfa5d0fcd604cf75234
España,Barcelona,Terrassa,9def9db4637a11f9ef50c7aff8bcc826
España,Barcelona,Mollet del Vallès,4b83b0897289113e06f9002a88a379b8
España,Murcia,Murcia,178826f0c3c7531a2a870309808ad4f1
España,Sevilla,Sevilla,ceed25eb7cffda5dcc2632a7abadfff5
España,Navarra,Pamplona/Iruña,6f73ebf30f664decc899cc971dc49620
España,Madrid,Las Rozas de Madrid,922da70c2cae8cc12914356d5699a428
España,Islas Baleares/Illes Balears,Palma de Mallorca,93a5ec313669260fdea86fe6793af96c
España,Soria,Ólvega,729b64a52ea64aebca23651f94526002
España,Valencia/València,Valencia,75f74bdff792ec2f18c28414270f258d
España,Madrid,Móstoles,e7614f7ce5c411c0c56524b7fbfd2de5
España,Barcelona,Badalona,b4a231012eff105dd8e63e1b51ac43a7
España,Málaga,Alhaurín de la Torre,4cf2d490f2b7ba999142d7cc357afdf7
España,Barcelona,Sant Boi de Llobregat,ce22ea2a12babf8285aa64d40335f4c9
España,Zaragoza,Zaragoza,2c8bf22883daea01fef408b472375925
España,Valladolid,Valladolid,224e974122ce1cf2eb8e455011fd1bdc
España,Barcelona,Viladecans,ac8e761e03c4214bd3d0aa3e0b89ea9a
España,Barcelona,Martorell,91e7bd66c466a97de7971d8f8797c846
España,Guipúzcoa/Gipuzkoa,Astigarraga,b1722f6d0ca38d65cf8827c56668b7f7
España,Almería,El Ejido,0e86baa7b59008959bfa87692234cf82
España,Castellón/Castelló,Castellón de la Plana/Castelló de la Plana,24adf9d6390f42bc463a2795921a72e1
España,Barcelona,Sant Cugat del Vallès,630440ab8e6b0cbc965f090335515829
España,Murcia,Ceutí,b05a12feb705fb71382ab242fbfafdca
España,Barcelona,Mataró,e86e4ff2c0f659fb18ae5349cbde6dbc
España,Santa Cruz de Tenerife,Arona,19ee00b2235c499d1c1fa08efeabc9c7
España,Alicante/Alacant,Alicante/Alacant,acf48e5a97bf9195306e486f5ffb2ec9
España,Álava/Araba,Vitoria-Gasteiz,1bc26ca3b9d31734e769a031b106a87a
España,Guipúzcoa/Gipuzkoa,Arrasate/Mondragón,04b4de868ead1a74b96843cef734d1c4
España,Barcelona,Igualada,3ec31adf7e4dfe7581bede917eba3296
España,Barcelona,Granollers,c6285d606677d36e5c84e2f518aae7fc
España,Islas Baleares/Illes Balears,Son Servera,9c6e89e3cd391adbc565dbb94817ab6c
España,Santa Cruz de Tenerife,San Miguel de Abona,d539504c9ee5982b05fc4db01b10c52c
España,Islas Baleares/Illes Balears,Alcúdia,a7e6592c3bde6ff151cbf7cc1de5e8ce
España,Pontevedra,O Grove,f287824f0aa1fbbcb12a63b5e9b1060d
España,Barcelona,Sabadell,cefa75e2ce1945293fc66dcd0ad6bb0d
España,Girona,Vilamalla,80a6608a122e5f000c750e99bf629a66
España,Guipúzcoa/Gipuzkoa,Ezkio-Itsaso,0b120c9b74dcb47d537ce693f4f28e8a
España,Islas Baleares/Illes Balears,Sant Antoni de Portmany,5cd0ae5a427113c4597b976ebea2973b
España,Alicante/Alacant,Aspe,a762c8394c79eb15686b40bc8126ecb9
España,Girona,Maçanet de la Selva,e37bed7af5c5b332a33135e8972e5601
España,Salamanca,Peñaranda de Bracamonte,37f6bd68d6407f140c13ac7ec6b0ec48
España,Barcelona,Polinyà,a4786428212e5d4a14ae3d049d083440
España,Sevilla,Alcalá de Guadaíra,0e9c77450264499933a14b10b2ad7869
España,Asturias,Avilés,f75948af4cc6bd9952537224eedb1364
España,Cádiz,Sanlúcar de Barrameda,51162b04b7c1bfd40524fe2e08996e14
España,Barcelona,Cornellà de Llobregat,2105e9c6b3a4dc3a4520ef00849e35c0
España,Madrid,San Fernando de Henares,15d89bdfe83425c71b3144d45ba85f6f
España,Valencia/València,Algemesí,92ccac3d3eeeeb1567be7569ffda43bf
España,Vizcaya/Bizkaia,Barakaldo,70961a2f3a1483025fcf91128ea65b41
España,Málaga,Málaga,c2823e02ab788473e27eecfd21344b18
España,Guipúzcoa/Gipuzkoa,Donostia-San Sebastián,636262a1409d5a167b50c4a8340fb9b3
