habilidad,habilidad_key
Inversores,ae1ea38deb93b781dc97e1a8a2168251
Gestión,aa3d177ab91083adda6e0ecc232e9ce6
Averias,68004a760e8f437e5f05a8b39a5b3c7d
Estacion bombeo,163b4d1b22e011a8fba2736b7a7e1951
Caudalimetros,a4766c5c81563fa9e06781eeedd6ce2f
Declaraciones de renta,4cb96facc5f0f0c89131fd13cff08fee
Iva,c2da19d55da09e7e63fe63f34863c869
A3eco,3f6a735f25e60b0962d79c1e77d1e0bf
Impuestos,40f8dea854ab98b18e276587a4ec3f07
Impuesto sociedades,7b568975809b2004e5b997162d76db78
Cuentas anuales,ad4703853a24a8012072f2bc75aabd0e
A3con,9e9a7634a1afb3bcad37010f42552ca7
Gestión del impuesto de sociedades,0001f7ed1c14cd77322e25dc9de6d800
Gestión de libros contables,47c3c9b282a798c35ca5b9c18b6c6b3d
Amortizaciones,800d62a33bd977626627e5f5358e9b20
Atención al cliente,3f9a69226800c800492dcca2b96ccb1b
Gestión de patrimonio,d330eec776ac67fbae4f5adaa507fee1
Negociación de ofertas,f2fa3b10bf2fe64254dc2e8edb41823b
Negociación,2911fce0a870de39c02154658bd529f3
Marketing,7cb15e416d62919b1b40298324fbe30b
Análisis,cc82abe5c6c077c04a389cd66b1deefd
Comercio electrónico,bdd408fd92a27740878fee8e9cf56271
Ventas,adcc30327981bffd4f2f27d482e52e78
Primeros auxilios,a691c64c73e076a8e7389ec75e592b9e
Vigilancia,d131f1cff0246a7901c353c6bfc5dc0b
Club,aeef646f76c57ed9084edddbb6365b9c
Mantenimiento,53ee60e03cff8e9ae06ceeec004ee262
Transporte,17eee34f2b7c9047b252bcd923d3c15d
Administrativo,41696d1256cb0239f5d9cb6f4bf47dee
Facturación,8982385e6e341d53c9a2dd9ab05dd687
Podología,b33eb262c4a1be659388f8c43ce0a92f
Quiropodioa,abe85616097c7af1c705aee2eefb0e86
Gastos,a5c77266588fa0bc59cb9a88b7cec3f4
Compras,74dd5d593cfe2c28ed3d96dfa0aed9a4
Sap,a5734424887783d782c4136b7aff71c5
Ilustración digital,8e8e5f0236216f1d5a9029444cdef2e4
